host_id,total_guests,raw_black,prop_black,any_black,past_guest_merge
173481,9,1,.11111111,1,matched (3)
173592,10,0,0,0,matched (3)
176300,324,0,0,0,matched (3)
176407,177,0,0,0,matched (3)
177969,35,0,0,0,matched (3)
179142,10,0,0,0,matched (3)
179243,3,0,0,0,matched (3)
180061,210,0,0,0,matched (3)
181427,8,1,.125,1,matched (3)
181546,48,1,.020833334,1,matched (3)
185067,13,0,0,0,matched (3)
186274,21,0,0,0,matched (3)
186521,41,0,0,0,matched (3)
187806,88,0,0,0,matched (3)
188082,62,0,0,0,matched (3)
189473,56,0,0,0,matched (3)
189584,144,0,0,0,matched (3)
190245,212,0,0,0,matched (3)
191173,448,1,.002232143,1,matched (3)
192135,10,1,.1,1,matched (3)
194380,13,0,0,0,matched (3)
195656,122,0,0,0,matched (3)
195697,536,3,.0055970149,1,matched (3)
196444,11,0,0,0,matched (3)
196851,485,1,.0020618557,1,matched (3)
198661,52,0,0,0,matched (3)
199477,39,1,.025641026,1,matched (3)
201318,86,0,0,0,matched (3)
201467,129,0,0,0,matched (3)
202154,49,0,0,0,matched (3)
203152,57,0,0,0,matched (3)
203686,7,1,.14285715,1,matched (3)
203732,6,0,0,0,matched (3)
205467,22,1,.045454547,1,matched (3)
205890,113,0,0,0,matched (3)
206353,198,0,0,0,matched (3)
213865,710,1,.0014084507,1,matched (3)
215804,36,0,0,0,matched (3)
218327,,0,0,0,master only (1)
219104,19,0,0,0,matched (3)
222118,29,0,0,0,matched (3)
230864,77,3,.038961038,1,matched (3)
236758,116,0,0,0,matched (3)
237652,58,0,0,0,matched (3)
239712,1139,0,0,0,matched (3)
244186,132,0,0,0,matched (3)
245280,43,0,0,0,matched (3)
246455,64,0,0,0,matched (3)
248513,38,0,0,0,matched (3)
249058,118,1,.0084745763,1,matched (3)
249820,5,0,0,0,matched (3)
257111,45,0,0,0,matched (3)
257889,128,1,.0078125,1,matched (3)
258446,22,1,.045454547,1,matched (3)
262696,103,0,0,0,matched (3)
263297,463,0,0,0,matched (3)
263410,228,0,0,0,matched (3)
263830,23,0,0,0,matched (3)
